"created_at","tweet_user_id","followers_count","country","name","coordinates","place_type","text","hashtag","game"
"2019-05-09 19:26:56","1116659780112801792","1","France","Beauchamp","[[[2.172993, 49.001662], [2.172993, 49.025473], [2.215, 49.025473], [2.215, 49.001662]]]","city","Si quelqu’un pouvais crée une pétition sur internet pour remettre le chasseur sur fortnite et revenir quelques sais… https://t.co/Zf8d84Amfq",NULL,"Fortnite"
"2019-05-09 19:40:07","95983123","272","United States","Norman","[[[-97.51982, 35.15327], [-97.51982, 35.291332], [-97.370527, 35.291332], [-97.370527, 35.15327]]]","city","#art #grateful #magick #meditation #seeokc #ontheroad #drawing #wtcch #fortnite #flowers #cows #zombies #cooks… https://t.co/9BVuD59mVI","['art', 'grateful', 'magick', 'meditation', 'seeokc', 'ontheroad', 'drawing', 'wtcch', 'fortnite', 'flowers', 'cows', 'zombies', 'cooks']","Fortnite"
"2019-05-09 15:55:50","17466714","10274","United States","Houston","[[[-95.823268, 29.522325], [-95.823268, 30.154665], [-95.069705, 30.154665], [-95.069705, 29.522325]]]","city","So #FortniteSeason9 was just released and the biggest complaints I’ve seen so far are 
1)No more Pump Shot Guns
2)S… https://t.co/J95nRpQGTh","['FortniteSeason9']","Fortnite"
"2019-05-09 19:41:24","746032910","654","México","Querétaro","[[[-100.596343, 20.50317], [-100.596343, 20.927379], [-100.284846, 20.927379], [-100.284846, 20.50317]]]","city","Dibujando la skin IKONIK ;)
Prismacolor sobre papel marquilla
5 hrs de progreso.
@FortniteGame @Fortnite_ES… https://t.co/JwkQ1pouhw",NULL,"Fortnite"
"2019-05-09 15:56:45","43330364","261","Brasil","Mossoró","[[[-37.585037, -5.494122], [-37.585037, -4.881502], [-37.109504, -4.881502], [-37.109504, -5.494122]]]","city","No fnx no major #selfit #gym #foooco #csgo #cs em Selfit Academia https://t.co/3HzNkh36Of","['selfit', 'gym', 'foooco', 'csgo', 'cs']","CSGO"
"2019-05-09 23:33:19","929498664770424837","39","United Kingdom","England","[[[-6.365194, 49.882531], [-6.365194, 55.811649], [1.768926, 55.811649], [1.768926, 49.882531]]]","admin","FOLLOW ME!😃❤️#apex #legends — #apexlegends #games #gaming #mixer #youtube #xbox #xboxone #gamer #videogames #follow… https://t.co/fib76IcUVB","['apex', 'legends', 'apexlegends', 'games', 'gaming', 'mixer', 'youtube', 'xbox', 'xboxone', 'gamer', 'videogames', 'follow']","ApexLegends"
"2019-05-09 16:18:19","589636332","755","United States","Detroit","[[[-83.288056, 42.255085], [-83.288056, 42.450488], [-82.91052, 42.450488], [-82.91052, 42.255085]]]","city","I can’t believe #Fortnite removed Pumps 😑","['Fortnite']","Fortnite"
"2019-05-10 04:53:28","807405140","780","United States","Portland","[[[-122.790065, 45.421863], [-122.790065, 45.650941], [-122.471751, 45.650941], [-122.471751, 45.421863]]]","city","Now I have the all star mercy skin and I love it already 😍 #overwatch #playoverwatch #mercy #mercymain… https://t.co/OTOT6ohKkd","['overwatch', 'playoverwatch', 'mercy', 'mercymain']","overwatch"
"2019-05-09 23:41:51","842534490681499649","28","United States","Simi Valley","[[[-118.829753, 34.222878], [-118.829753, 34.311743], [-118.633045, 34.311743], [-118.633045, 34.222878]]]","city","Fortnite season 9! All ready and updated on all pcs!!! Come down and play the new season! 
#exodusgaming… https://t.co/LM23LzNOmV","['exodusgaming']","Fortnite"
"2019-05-10 00:38:36","333696141","527","United States","Temple","[[[-85.050703, 33.714685], [-85.050703, 33.747562], [-84.994833, 33.747562], [-84.994833, 33.714685]]]","city","Win money playing #Fortnite, #Madden, #NBA2K &amp; more on @_playerslounge. #PlayForSomething https://t.co/j5tKORNduK","['Fortnite', 'Madden', 'NBA2K', 'PlayForSomething']","Fortnite"
